Id,SalePrice
1461,125537.21
1462,164110.98
1463,181311.8
1464,191651.98
1465,187156.61
1466,173777.2
1467,173932.52
1468,166460.27
1469,178683.23
1470,125912.61
1471,202742.55
1472,97308.14
1473,94145.305
1474,153330.78
1475,124899.29
1476,377123.53
1477,255348.7
1478,297992.44
1479,263204.25
1480,484309.1
1481,305848.53
1482,206110.5
1483,173597.62
1484,167801.53
1485,171663.4
1486,195866.61
1487,341410.6
1488,231925.08
1489,209210.2
1490,220529.77
1491,186836.8
1492,90695.09
1493,187898.52
1494,289725.62
1495,280237.4
1496,235466.17
1497,183805.78
1498,159215.34
1499,156861.33
1500,150954.64
1501,180477.81
1502,153539.69
1503,310810.06
1504,239866.45
1505,223446.42
1506,181201.61
1507,237355.75
1508,194249.62
1509,160677.62
1510,145396.67
1511,141573.61
1512,167622.22
1513,142541.1
1514,176904.2
1515,200385.97
1516,160654.3
1517,163586.44
1518,134812.11
1519,228728.64
1520,135851.81
1521,138137.84
1522,168308.33
1523,113729.96
1524,126311.305
1525,124796.44
1526,115723.52
1527,101933.25
1528,132272.0
1529,149353.97
1530,171475.92
1531,107100.04
1532,99666.484
1533,150976.11
1534,118568.9
1535,152095.19
1536,107934.055
1537,61286.707
1538,171485.12
1539,193679.19
1540,96028.76
1541,146139.08
1542,137594.14
1543,217469.67
1544,81409.734
1545,105909.81
1546,132835.9
1547,140436.88
1548,136335.03
1549,113223.3
1550,140449.73
1551,107953.555
1552,133319.42
1553,152932.03
1554,112574.47
1555,169110.69
1556,86164.43
1557,104402.9
1558,93990.31
1559,78045.42
1560,133423.77
1561,151146.4
1562,126800.734
1563,121629.57
1564,157544.77
1565,150479.84
1566,239704.34
1567,66994.77
1568,231198.11
1569,145266.44
1570,138474.81
1571,124934.695
1572,150473.94
1573,253374.28
1574,109293.38
1575,217137.08
1576,238132.89
1577,198420.12
1578,149271.67
1579,144392.75
1580,190892.14
1581,154188.14
1582,129007.02
1583,309361.94
1584,229677.9
1585,139813.47
1586,68425.086
1587,100419.984
1588,151112.66
1589,97059.0
1590,131982.73
1591,99768.8
1592,116788.91
1593,128934.1
1594,160897.83
1595,109027.88
1596,238406.88
1597,184115.28
1598,203604.52
1599,178302.98
1600,175554.31
1601,70802.68
1602,113728.625
1603,78906.266
1604,269504.44
1605,247323.3
1606,169702.69
1607,171033.78
1608,209634.08
1609,196669.19
1610,159655.14
1611,141827.16
1612,160085.89
1613,161335.12
1614,122700.266
1615,88188.13
1616,68240.086
1617,87120.695
1618,126432.18
1619,138061.17
1620,155623.16
1621,135102.14
1622,136010.83
1623,291470.06
1624,213780.56
1625,121009.83
1626,165813.97
1627,188275.3
1628,276189.38
1629,177481.88
1630,393331.4
1631,214769.7
1632,239983.05
1633,167346.81
1634,187147.45
1635,177697.12
1636,157289.86
1637,187545.47
1638,193051.47
1639,178534.69
1640,262317.4
1641,176096.69
1642,227834.6
1643,228682.61
1644,231835.27
1645,189317.97
1646,158194.98
1647,159299.44
1648,132399.89
1649,139463.19
1650,110107.55
1651,125083.984
1652,96171.59
1653,97210.51
1654,145677.17
1655,146328.08
1656,145537.52
1657,146518.95
1658,145705.48
1659,129016.734
1660,155656.3
1661,443212.06
1662,399693.88
1663,383021.97
1664,452774.75
1665,325073.3
1666,331173.9
1667,383322.03
1668,338662.6
1669,302390.47
1670,347435.12
1671,261138.88
1672,512866.16
1673,298969.72
1674,248766.14
1675,187867.28
1676,193204.9
1677,215562.39
1678,458764.94
1679,403668.28
1680,336194.1
1681,260222.55
1682,302140.06
1683,174556.86
1684,167923.81
1685,172699.53
1686,168529.97
1687,165233.4
1688,184166.61
1689,188795.28
1690,184638.97
1691,175886.61
